id,id_ingrediente,zona,mes_inicio,mes_fin,disponibilidad,notas
59,26,GBA Sur Hortícola,8,11,plena,Producción importante. Variedad Kennebec.
60,27,GBA Sur Hortícola,3,7,plena,Otoño-invierno. Sabor dulce al hornearse.
61,27,GBA Norte Hortícola,3,6,plena,Buena producción. Alta demanda en invierno.
62,28,GBA Sur Hortícola,9,11,plena,Temporada bien definida. Septiembre-noviembre.
63,28,Delta del Tigre,9,11,plena,Producción artesanal muy apreciada. Fruta pequeña e intensa.
64,28,GBA Norte Hortícola,9,11,plena,Alta producción bajo cubierta y a campo.
65,29,GBA Norte Hortícola,12,2,plena,Verano. Variedades Pavía y Rey del Monte.
66,29,Pampa Húmeda Interior,12,2,plena,Buena producción en suelos sueltos.
67,30,GBA Norte Hortícola,1,3,plena,Final de verano. Ciruela santa rosa la más común.
68,30,Pampa Húmeda Interior,1,3,plena,Producción en chacras. Muy aromática.
69,31,GBA Norte Hortícola,11,12,plena,Temporada muy corta. Diciembre es el pico.
70,31,Pampa Húmeda Interior,11,12,plena,Similar. Cosecha artesanal.
71,32,Pampa Húmeda Interior,3,6,plena,Otoño. Variedad Williams la más común.
72,32,Sur Bonaerense,3,5,plena,Clima fresco da buena acidez.
73,33,Pampa Húmeda Interior,3,6,plena,Manzanas de otoño. Variedad Granny Smith muy presente.
74,33,Sur Bonaerense,3,5,plena,Buena calidad. Clima frío favorece textura firme.
75,34,Pampa Húmeda Interior,3,6,plena,Otoño. Exclusivo para dulce y pasta. Alta demanda en confitería.
76,35,GBA Norte Hortícola,5,8,plena,Invierno. Producción menor que el litoral pero presente.
77,35,Delta del Tigre,5,8,inicio,Pequeña escala. Consumo local.
78,36,GBA Norte Hortícola,4,8,plena,Invierno. La mandarina es la cítrica más popular.
79,36,Delta del Tigre,5,7,inicio,Producción familiar. Muy fresca.
80,37,GBA Norte Hortícola,1,12,plena,Todo el año. Pico en invierno junio-agosto.
81,37,Delta del Tigre,1,12,plena,Producción continua. Limón eureka el más común.
82,38,Costa Atlántica,12,3,plena,Verano. Necesita calor intenso. Muy productiva.
83,38,Cuenca del Salado,12,2,plena,Producción en campo abierto. Buen volumen.
84,39,Costa Atlántica,12,3,plena,Similar a la sandía. Variedades amarillas y verdes.
85,39,Cuenca del Salado,12,2,plena,Producción a campo. Sabor muy dulce en verano caluroso.
86,40,GBA Sur Hortícola,11,3,plena,Verano. No tolera frío. La más usada en cocina italiana y oriental.
87,40,GBA Norte Hortícola,11,3,plena,Alta producción bajo cubierta.
88,40,Delta del Tigre,11,3,plena,Producción familiar. Muy aromática recién cortada.
89,41,GBA Sur Hortícola,1,12,plena,Todo el año. El perejil es infaltable en la cocina criolla.
90,41,GBA Norte Hortícola,1,12,plena,Producción continua. Rizado y liso.
91,41,Delta del Tigre,1,12,plena,Muy fresco. Producción familiar continua.
92,42,GBA Sur Hortícola,8,11,plena,Primavera y otoño. El calor lo hace florecer y perder aroma.
93,42,GBA Norte Hortícola,8,11,plena,Producción en macetas y a campo.
94,43,GBA Sur Hortícola,1,12,plena,Arbusto perenne. Disponible todo el año en maceta y a campo.
95,43,GBA Norte Hortícola,1,12,plena,Muy resistente. Poco mantenimiento.
96,44,GBA Sur Hortícola,1,12,plena,Perenne y resistente al frío. Producción continua.
97,44,GBA Norte Hortícola,1,12,plena,Similar. Muy usado en cocina de hierbas.
98,45,GBA Sur Hortícola,9,3,plena,Primavera-verano. Crece muy rápido. Invasiva.
99,45,Delta del Tigre,9,3,plena,Condiciones ideales de humedad. Muy abundante.
100,45,GBA Norte Hortícola,9,3,plena,Producción en macetas y a campo.
